5 0.632687 0.543560 0.015542 0.017546
3 0.973688 0.374046 0.051260 0.201444
4 0.431815 0.222120 0.012089 0.100315
2 0.704779 0.436125 0.010859 0.020528 0
0 0.497727 0.356000 0.030307 0.122370 1
0 0.109648 0.415829 0.024630 0.159102 2
0 0.124773 0.449153 0.033401 0.125954 3
6 0.399065 0.355736 0.035234 0.137361 4
0 0.119667 0.499958 0.045219 0.184139 5
0 0.044727 0.820542 0.038911 0.177657 6
0 0.324234 0.437162 0.033208 0.120343 7
0 0.599380 0.371389 0.037698 0.159574 8
0 0.225880 0.637606 0.217510 0.418120 9
0 0.722982 0.365778 0.039870 0.149056 10
0 0.658797 0.500023 0.054896 0.189991 11
0 0.753417 0.386407 0.051573 0.163667 12
0 0.183552 0.465204 0.049229 0.187222 13
0 0.511656 0.435134 0.050354 0.179380 14
0 0.087068 0.462745 0.095115 0.265546 15
6 0.272479 0.594088 0.179969 0.554139 16
0 0.504935 0.449356 0.036380 0.064250 17
0 0.233596 0.443866 0.042182 0.150417 19
0 0.533635 0.369935 0.038562 0.141426 20
0 0.488086 0.609153 0.031016 0.179287 21
0 0.735359 0.411611 0.035844 0.140667 22
1 0.829383 0.396787 0.032380 0.139944 23
1 0.274404 0.369343 0.055120 0.138852 24
6 0.766391 0.140310 0.015479 0.072213 25
6 0.224049 0.805713 0.191026 0.387407 26
