4 0.231422 0.290810 0.008167 0.095176
3 0.866792 0.461713 0.266417 0.247481
2 0.432018 0.596894 0.013880 0.025009 0
0 0.624604 0.713944 0.103042 0.240889 1
0 0.461990 0.499287 0.042854 0.240667 2
0 0.285716 0.635838 0.037214 0.166472 3
6 0.630964 0.473819 0.042896 0.163731 4
0 0.215211 0.138412 0.065182 0.238454 5
0 0.113937 0.707032 0.043375 0.167602 6
0 0.067081 0.568694 0.031620 0.147685 7
0 0.825284 0.313574 0.045943 0.194241 8
0 0.238789 0.305676 0.052682 0.171241 9
0 0.367721 0.493713 0.047964 0.172889 10
0 0.171901 0.642912 0.035677 0.122324 11
0 0.061768 0.497236 0.022391 0.136824 12
0 0.298294 0.131292 0.065026 0.237676 13
0 0.052370 0.585162 0.032969 0.152824 14
0 0.234745 0.524657 0.071135 0.203519 15
6 0.222250 0.425074 0.029354 0.125963 16
0 0.216654 0.560676 0.035651 0.155500 17
0 0.078005 0.502824 0.024615 0.146574 19
0 0.048781 0.516958 0.033708 0.136824 20
0 0.406445 0.697940 0.040755 0.178750 21
0 0.360039 0.645023 0.031641 0.165750 22
1 0.824846 0.485398 0.028026 0.138278 23
1 0.406719 0.387194 0.053260 0.200537 24
6 0.775802 0.135944 0.015635 0.072722 25
6 0.256354 0.674694 0.339823 0.648352 26
