7 0.749607 0.392255 0.500786 0.173028
2 0.616286 0.748593 0.013260 0.028000 0
0 0.244794 0.392278 0.030828 0.109704 1
0 0.149138 0.341343 0.037557 0.108796 2
0 0.196979 0.281630 0.025313 0.103037 3
6 0.362203 0.131718 0.019760 0.063787 4
0 0.402234 0.552282 0.039490 0.130435 5
0 0.113203 0.593866 0.035677 0.149306 6
0 0.608159 0.367611 0.023474 0.114222 7
0 0.290318 0.403644 0.042385 0.115435 8
0 0.586674 0.696185 0.052099 0.130037 9
0 0.326070 0.251963 0.021714 0.087370 10
0 0.972938 0.459250 0.032646 0.120019 11
0 0.486578 0.197579 0.025073 0.080954 12
0 0.287318 0.549815 0.051510 0.138519 13
0 0.931380 0.362694 0.028490 0.101648 14
0 0.886495 0.424278 0.034656 0.114407 15
6 0.650557 0.455444 0.030594 0.120963 16
0 0.443763 0.489509 0.168620 0.878204 17
0 0.668620 0.337569 0.032042 0.109324 19
0 0.314740 0.525880 0.198437 0.948241 20
0 0.627682 0.695259 0.040573 0.166704 21
0 0.640648 0.254037 0.024068 0.099815 22
1 0.427091 0.289620 0.024943 0.094167 23
1 0.128729 0.372347 0.031583 0.105046 24
6 0.795255 0.126907 0.015948 0.073778 25
6 0.299427 0.500009 0.538229 0.996278 26
