3 0.193393 0.017157 0.158818 0.034315
3 0.218812 0.858472 0.437625 0.283056
4 0.871599 0.009509 0.009146 0.017037
7 0.236591 0.279454 0.473182 0.132981
2 0.671130 0.482329 0.010958 0.019046 0
0 0.317005 0.468083 0.039740 0.118093 1
0 0.523820 0.325926 0.023922 0.120741 2
0 0.383833 0.336639 0.026292 0.114870 3
6 0.828891 0.184074 0.027146 0.076778 4
0 0.670615 0.424764 0.031271 0.103991 5
0 0.871706 0.288329 0.024818 0.107046 6
0 0.434378 0.411620 0.037807 0.122130 7
0 0.286841 0.449264 0.029651 0.117769 8
0 0.672906 0.297426 0.023312 0.101074 9
0 0.282599 0.483139 0.035031 0.123167 10
0 0.634651 0.253412 0.042010 0.099472 11
0 0.183193 0.482556 0.033063 0.134389 12
0 0.685068 0.407616 0.025385 0.120139 13
0 0.430198 0.201093 0.020646 0.092630 14
0 0.410810 0.144278 0.019224 0.083481 15
6 0.609531 0.297921 0.023750 0.107120 16
0 0.150161 0.206778 0.027250 0.097759 17
0 0.144911 0.197315 0.021896 0.101648 19
0 0.314740 0.525880 0.198437 0.948241 20
0 0.860122 0.235778 0.024099 0.108444 21
0 0.696307 0.126704 0.017281 0.093630 22
1 0.215760 0.031481 0.019646 0.062963 23
1 0.312409 0.713125 0.053307 0.167454 24
6 0.235732 0.227866 0.018068 0.086861 25
6 0.299427 0.500009 0.538229 0.996278 26
0 0.239815 0.128310 0.018078 0.091898 27
